=== MATCH SCHEDULE FOR SUNDAY ===
02:55 PM - 03:05 PM | AMD48  | Court 1
02:55 PM - 03:05 PM | AMD49  | Court 2
02:55 PM - 03:05 PM | AMD51  | Court 3
02:55 PM - 03:20 PM | DMD61  | Court 19
02:55 PM - 03:20 PM | DMD62  | Court 4
02:55 PM - 03:20 PM | DWD61  | Court 8
03:00 PM - 03:10 PM | BMD49  | Court 9
03:00 PM - 03:10 PM | BMD51  | Court 10
03:00 PM - 03:10 PM | CMD104 | Court 11
03:00 PM - 03:25 PM | DWD62  | Court 12
03:05 PM - 03:15 PM | CMD105 | Court 13
03:05 PM - 03:15 PM | CMD106 | Court 14
03:05 PM - 03:15 PM | CMD107 | Court 15
03:05 PM - 03:15 PM | AMD50  | Court 1
03:05 PM - 03:15 PM | CWD48  | Court 16
03:05 PM - 03:15 PM | CWD49  | Court 17
03:05 PM - 03:15 PM | CWD50  | Court 18
03:05 PM - 03:15 PM | CWD51  | Court 2
03:05 PM - 03:30 PM | BMD29  | Court 3
03:05 PM - 03:30 PM | BMD30  | Court 5
03:10 PM - 03:35 PM | CMD61  | Court 9
03:10 PM - 03:35 PM | CMD62  | Court 10
03:10 PM - 03:35 PM | CWD29  | Court 11
03:15 PM - 03:40 PM | AMD29  | Court 6
03:15 PM - 03:40 PM | CWD30  | Court 13
03:15 PM - 03:25 PM | DMD108 | Court 14
03:15 PM - 03:25 PM | DMD109 | Court 15
03:15 PM - 03:25 PM | DWD108 | Court 16
03:15 PM - 03:25 PM | DWD109 | Court 17
03:15 PM - 03:25 PM | AMD52  | Court 1
03:20 PM - 03:45 PM | AMD30  | Court 7
03:20 PM - 03:30 PM | BMD52  | Court 18
03:20 PM - 03:30 PM | BMD53  | Court 19
03:25 PM - 03:35 PM | CMD108 | Court 14
03:25 PM - 03:35 PM | CMD109 | Court 15
03:25 PM - 03:35 PM | AMD53  | Court 1
03:25 PM - 03:35 PM | CWD52  | Court 16
03:25 PM - 03:35 PM | CWD53  | Court 17
03:25 PM - 03:35 PM | ABWD10 | Court 2
03:30 PM - 03:40 PM | ABWD11 | Court 3
03:30 PM - 03:55 PM | DMD63  | Court 18
03:30 PM - 03:55 PM | ABWD7  | Court 5
03:35 PM - 04:05 PM | DMD110 | Court 1
