=== MATCH SCHEDULE FOR SATURDAY ===
03:45 PM - 04:10 PM | DXD51  | Court 18
03:45 PM - 04:10 PM | DXD52  | Court 19
03:45 PM - 04:10 PM | DXD53  | Court 9
03:45 PM - 04:10 PM | DXD54  | Court 10
03:55 PM - 04:20 PM | DXD55  | Court 1
03:55 PM - 04:20 PM | DXD56  | Court 2
03:55 PM - 04:20 PM | BXD17  | Court 3
03:55 PM - 04:20 PM | BXD18  | Court 4
04:00 PM - 04:25 PM | AMS3   | Court 7
04:00 PM - 04:25 PM | AMS4   | Court 8
04:00 PM - 04:25 PM | BXD19  | Court 11
04:00 PM - 04:25 PM | BXD20  | Court 12
04:00 PM - 04:10 PM | CMS192 | Court 13
04:05 PM - 04:30 PM | AMS5   | Court 5
04:05 PM - 04:30 PM | AMS6   | Court 6
04:10 PM - 04:35 PM | BXD21  | Court 9
04:10 PM - 04:35 PM | BXD22  | Court 10
04:10 PM - 04:20 PM | CMS193 | Court 13
04:10 PM - 04:20 PM | CMS194 | Court 14
04:10 PM - 04:20 PM | CMS195 | Court 15
04:10 PM - 04:20 PM | CMS196 | Court 16
04:10 PM - 04:20 PM | CMS197 | Court 17
04:10 PM - 04:20 PM | CMS198 | Court 18
04:10 PM - 04:20 PM | CMS199 | Court 19
04:20 PM - 04:45 PM | BXD23  | Court 1
04:20 PM - 04:45 PM | BXD24  | Court 2
04:20 PM - 04:45 PM | BWS2   | Court 3
04:20 PM - 04:45 PM | BWS3   | Court 4
04:20 PM - 04:30 PM | CMS200 | Court 13
04:20 PM - 04:30 PM | CMS201 | Court 14
04:20 PM - 04:30 PM | CMS202 | Court 15
04:20 PM - 04:30 PM | CMS203 | Court 16
04:20 PM - 04:30 PM | CMS204 | Court 17
04:20 PM - 04:30 PM | CMS205 | Court 18
04:20 PM - 04:30 PM | CMS206 | Court 19
04:25 PM - 04:50 PM | AMS7   | Court 7
04:25 PM - 04:50 PM | AMS8   | Court 8
04:25 PM - 04:35 PM | CMS207 | Court 11
04:25 PM - 04:35 PM | DMS192 | Court 12
04:30 PM - 04:55 PM | AWS2   | Court 5
04:30 PM - 04:40 PM | DMS193 | Court 13
04:30 PM - 04:40 PM | DMS194 | Court 14
04:30 PM - 04:40 PM | DMS195 | Court 15
04:30 PM - 04:40 PM | DMS196 | Court 16
04:30 PM - 04:40 PM | DMS197 | Court 17
04:30 PM - 04:40 PM | DMS198 | Court 18
04:30 PM - 04:40 PM | DMS199 | Court 19
04:30 PM - 04:40 PM | DMS200 | Court 6
04:35 PM - 04:45 PM | DMS201 | Court 9
04:35 PM - 04:45 PM | DMS202 | Court 10
04:35 PM - 04:45 PM | DMS203 | Court 11
04:35 PM - 04:45 PM | DMS204 | Court 12
04:40 PM - 04:50 PM | DMS205 | Court 13
04:40 PM - 04:50 PM | DMS206 | Court 14
04:40 PM - 04:50 PM | DMS207 | Court 15
